"","site_name","lat","long","predator_min_length","predator_max_length","predator_average_length","length_units","length_measure","predator_stage","type_of_fish","sample_size","start_date","end_date","habitat","microhabitat","measurement_type","measurement_units","author","year","journal","citation","table_figure","data_sorted_by","fish_id","notes","prey_taxon","measurement","prey_stage","sampling_interval","lon"
"1","chapman River, Australia",NA,NA,"32","44",NA,"mm","standard",NA,"Oreochromis mossambicus","12","10/1/2002","10/1/2002","lotic",NA,"volume","percent","Maddern","2007","Journal of the Royal Society of Western Australia,","Maddern, M. G., Morgan, D. L., & Gill, H. S. (2007). Distribution, diet and potential ecological impacts of the introduced Mozambique mouthbrooder Oreochromis mossambicus Peters (Pisces: Cichlidae) in Western Australia. Journal of the Royal Society of Western Australia, 90(4), 203-214.","tbl2","averaged across sizes","madddern_2007_tbl2_1",NA,"algae_unicell_filament","60.9","unknown",NA,NA
"2","chapman River, Australia",NA,NA,"25","36",NA,"mm","standard",NA,"Gambusia holbrooki","12","10/1/2002","10/1/2002","lotic",NA,"volume","percent","Maddern","2007","Journal of the Royal Society of Western Australia,","Maddern, M. G., Morgan, D. L., & Gill, H. S. (2007). Distribution, diet and potential ecological impacts of the introduced Mozambique mouthbrooder Oreochromis mossambicus Peters (Pisces: Cichlidae) in Western Australia. Journal of the Royal Society of Western Australia, 90(4), 203-214.","tbl2","averaged across sizes","madddern_2007_tbl2_2",NA,"algae_unicell_filament","17.6","unknown",NA,NA
"3","chapman River, Australia",NA,NA,"31","134",NA,"mm","standard",NA,"Acanthopagrus butcheri","12","10/1/2002","10/1/2002","lotic",NA,"volume","percent","Maddern","2007","Journal of the Royal Society of Western Australia,","Maddern, M. G., Morgan, D. L., & Gill, H. S. (2007). Distribution, diet and potential ecological impacts of the introduced Mozambique mouthbrooder Oreochromis mossambicus Peters (Pisces: Cichlidae) in Western Australia. Journal of the Royal Society of Western Australia, 90(4), 203-214.","tbl2","averaged across sizes","madddern_2007_tbl2_3",NA,"algae_unicell_filament","0.8","unknown",NA,NA
"4","chapman River, Australia",NA,NA,"45","69",NA,"mm","standard",NA,"Amniataba caudavittata","7","10/1/2002","10/1/2002","lotic",NA,"volume","percent","Maddern","2007","Journal of the Royal Society of Western Australia,","Maddern, M. G., Morgan, D. L., & Gill, H. S. (2007). Distribution, diet and potential ecological impacts of the introduced Mozambique mouthbrooder Oreochromis mossambicus Peters (Pisces: Cichlidae) in Western Australia. Journal of the Royal Society of Western Australia, 90(4), 203-214.","tbl2","averaged across sizes","madddern_2007_tbl2_4",NA,"algae_unicell_filament","0","unknown",NA,NA
"5","chapman River, Australia",NA,NA,"28","56",NA,"mm","standard",NA,"Mugil cephalus","5","10/1/2002","10/1/2002","lotic",NA,"volume","percent","Maddern","2007","Journal of the Royal Society of Western Australia,","Maddern, M. G., Morgan, D. L., & Gill, H. S. (2007). Distribution, diet and potential ecological impacts of the introduced Mozambique mouthbrooder Oreochromis mossambicus Peters (Pisces: Cichlidae) in Western Australia. Journal of the Royal Society of Western Australia, 90(4), 203-214.","tbl2","averaged across sizes","madddern_2007_tbl2_5",NA,"algae_unicell_filament","14","unknown",NA,NA
"6","chapman River, Australia",NA,NA,"30","59",NA,"mm","standard",NA,"Hypseleotris compressa","12","10/1/2002","10/1/2002","lotic",NA,"volume","percent","Maddern","2007","Journal of the Royal Society of Western Australia,","Maddern, M. G., Morgan, D. L., & Gill, H. S. (2007). Distribution, diet and potential ecological impacts of the introduced Mozambique mouthbrooder Oreochromis mossambicus Peters (Pisces: Cichlidae) in Western Australia. Journal of the Royal Society of Western Australia, 90(4), 203-214.","tbl2","averaged across sizes","madddern_2007_tbl2_6",NA,"algae_unicell_filament","37.8","unknown",NA,NA
"7","chapman River, Australia",NA,NA,"24","44",NA,"mm","standard",NA,"Pseudogobius olorum","12","10/1/2002","10/1/2002","lotic",NA,"volume","percent","Maddern","2007","Journal of the Royal Society of Western Australia,","Maddern, M. G., Morgan, D. L., & Gill, H. S. (2007). Distribution, diet and potential ecological impacts of the introduced Mozambique mouthbrooder Oreochromis mossambicus Peters (Pisces: Cichlidae) in Western Australia. Journal of the Royal Society of Western Australia, 90(4), 203-214.","tbl2","averaged across sizes","madddern_2007_tbl2_7",NA,"algae_unicell_filament","25.2","unknown",NA,NA
"8","chapman River, Australia",NA,NA,"32","44",NA,"mm","standard",NA,"Oreochromis mossambicus","12","10/1/2002","10/1/2002","lotic",NA,"volume","percent","Maddern","2007","Journal of the Royal Society of Western Australia,","Maddern, M. G., Morgan, D. L., & Gill, H. S. (2007). Distribution, diet and potential ecological impacts of the introduced Mozambique mouthbrooder Oreochromis mossambicus Peters (Pisces: Cichlidae) in Western Australia. Journal of the Royal Society of Western Australia, 90(4), 203-214.","tbl2","averaged across sizes","madddern_2007_tbl2_1",NA,"bacillariophyceae","3.7","unknown",NA,NA
"9","chapman River, Australia",NA,NA,"25","36",NA,"mm","standard",NA,"Gambusia holbrooki","12","10/1/2002","10/1/2002","lotic",NA,"volume","percent","Maddern","2007","Journal of the Royal Society of Western Australia,","Maddern, M. G., Morgan, D. L., & Gill, H. S. (2007). Distribution, diet and potential ecological impacts of the introduced Mozambique mouthbrooder Oreochromis mossambicus Peters (Pisces: Cichlidae) in Western Australia. Journal of the Royal Society of Western Australia, 90(4), 203-214.","tbl2","averaged across sizes","madddern_2007_tbl2_2",NA,"bacillariophyceae","1","unknown",NA,NA
"10","chapman River, Australia",NA,NA,"31","134",NA,"mm","standard",NA,"Acanthopagrus butcheri","12","10/1/2002","10/1/2002","lotic",NA,"volume","percent","Maddern","2007","Journal of the Royal Society of Western Australia,","Maddern, M. G., Morgan, D. L., & Gill, H. S. (2007). Distribution, diet and potential ecological impacts of the introduced Mozambique mouthbrooder Oreochromis mossambicus Peters (Pisces: Cichlidae) in Western Australia. Journal of the Royal Society of Western Australia, 90(4), 203-214.","tbl2","averaged across sizes","madddern_2007_tbl2_3",NA,"bacillariophyceae","0","unknown",NA,NA
"11","chapman River, Australia",NA,NA,"45","69",NA,"mm","standard",NA,"Amniataba caudavittata","7","10/1/2002","10/1/2002","lotic",NA,"volume","percent","Maddern","2007","Journal of the Royal Society of Western Australia,","Maddern, M. G., Morgan, D. L., & Gill, H. S. (2007). Distribution, diet and potential ecological impacts of the introduced Mozambique mouthbrooder Oreochromis mossambicus Peters (Pisces: Cichlidae) in Western Australia. Journal of the Royal Society of Western Australia, 90(4), 203-214.","tbl2","averaged across sizes","madddern_2007_tbl2_4",NA,"bacillariophyceae","0","unknown",NA,NA
"12","chapman River, Australia",NA,NA,"28","56",NA,"mm","standard",NA,"Mugil cephalus","5","10/1/2002","10/1/2002","lotic",NA,"volume","percent","Maddern","2007","Journal of the Royal Society of Western Australia,","Maddern, M. G., Morgan, D. L., & Gill, H. S. (2007). Distribution, diet and potential ecological impacts of the introduced Mozambique mouthbrooder Oreochromis mossambicus Peters (Pisces: Cichlidae) in Western Australia. Journal of the Royal Society of Western Australia, 90(4), 203-214.","tbl2","averaged across sizes","madddern_2007_tbl2_5",NA,"bacillariophyceae","6.6","unknown",NA,NA
"13","chapman River, Australia",NA,NA,"30","59",NA,"mm","standard",NA,"Hypseleotris compressa","12","10/1/2002","10/1/2002","lotic",NA,"volume","percent","Maddern","2007","Journal of the Royal Society of Western Australia,","Maddern, M. G., Morgan, D. L., & Gill, H. S. (2007). Distribution, diet and potential ecological impacts of the introduced Mozambique mouthbrooder Oreochromis mossambicus Peters (Pisces: Cichlidae) in Western Australia. Journal of the Royal Society of Western Australia, 90(4), 203-214.","tbl2","averaged across sizes","madddern_2007_tbl2_6",NA,"bacillariophyceae","1.9","unknown",NA,NA
